,itemId,partNumber,title,quantityOnHand,unitSales,unitSalesPerDay,vsPreviousPeriod,vsPreviousYear,amazon,bestBuy,ebay,facebook,googleExpress,homedepot,kohls,kroger,lowes,macys,newegg,overstock,sears,target,vminnovations,vminnvovations,walmart,wayfair,wish,Date
27,228240,KM2001_BLACK,"KingCamp 78 x 29.9 Inch Outdoor Waterproof Self Inflating Sleeping Pad, Black",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26 July 2022
28,228247,KC2032_NAVY,"KingCamp Indoor &amp; Outdoor Inflatable Portable Air Lounger Sofa Couch Chair, Navy",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26 July 2022
29,228242,KM1901_BLACK,"KingCamp Luxury 3D 3 Inch Extra Wide Large Self Inflating Sleeping Pad, Black",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26 July 2022
30,228246,KM2011_NAVY,"KingCamp Double Self Inflating Camping Sleeping Mat Pad Foam Mattress, Blue",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26 July 2022
31,228245,KM2010_NAVY,"KingCamp Single Self Inflating Camping Sleeping Mat with Carrying Bag, Blue",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26 July 2022
32,228248,KC1901_PINK,"KingCamp Beach Camping Folding Lounge Chair w/ Mesh Back &amp; Foam Arm Rest, Pink",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26 July 2022
33,228266,KS2001_PETROLBLUE_R,"KingCamp Outdoor 40 Degree Adult Sleeping Bag for Camping and Backpacking, Green",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26 July 2022
34,228268,KM1906_BLACK,"KingCamp 74.8 x 50 Inch Waterproof Double Wide Inflatable Sleeping Pad, Black",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26 July 2022
35,228254,KC1904_MEDIUM GREY/BLACK,"KingCamp Compact Camping Folding Chair with Side Table and Storage Pocket, Grey",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26 July 2022
36,228256,KC2019_MEDIUM GREY,"KingCamp Portable 4 Positions Folding Cot Patio Reclining Lounger Chair, Gray",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26 July 2022
37,228218,KC1904_BLACK/MEDIUMGREY,"KingCamp Compact Camping Folding Chair with Side Table and Storage Pocket, Grey",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26 July 2022
38,228217,KC3841_BLUE,"KingCamp Lightweight Strong Stable Folding Beach Chair with Mesh Back, Blue",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26 July 2022
39,228215,KC3841_CYAN,"KingCamp Lightweight Strong Stable Folding Beach Chair with Mesh Back, Cyan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26 July 2022
40,228214,KC1901_CYAN,KingCamp Beach Camping Concert Folding Lounge Chair w/ Mesh Back &amp; Foam Arm Rest,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26 July 2022
41,228219,KC1904_BLACK/RED,"KingCamp Compact Camping Folding Chair with Side Table and Storage Pocket, Red",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26 July 2022
42,228233,KM3594_ROYALBLUE,"KingCamp Double Self Inflating Camping Sleeping Mat Pad with 2 Pillows, Blue",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26 July 2022
43,228235,KC2026_BLUE,"KingCamp Folding Deluxe Lightweight Portable Camping Side Pocket Bed Cot, Blue",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26 July 2022
44,228243,KM1901_LIGHTGREY/CHARCOAL,"KingCamp Luxury 3D 3 Inch Extra Wide Large Self Inflating Sleeping Pad, Grey",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26 July 2022
45,228222,KC3824_BLACK/MEDIUMGREY,"KingCamp Compact Camping Folding Chair with Side Table and Cup Holder, Black",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26 July 2022
46,228251,KC3841_GREEN,"KingCamp Lightweight Strong Stable Folding Beach Chair with Mesh Back, Green",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26 July 2022
47,228258,KC3888_MEDIUM GREY/BLK,KingCamp Heavy Duty Steel Padded Camping Director Folding Chair with Cooler Bag,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26 July 2022
48,228267,KM1905_BLACK,"KingCamp 74.8 x 24.8 Inch Outdoor Waterproof Inflatable Sleeping Pad, Black",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26 July 2022
49,228261,KC1908_GRAY,"KingCamp Ultralight High Back Portable Camping Folding Chair w/ Carry Bag, Gray",6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26 July 2022
50,228257,KC3888_MEDIUM GREY/NAVY,"KingCamp Heavy Duty Steel Padded Camping Folding Chair w/ Cooler Bag, Gray/Navy",7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26 July 2022
51,228249,KC1901_RED,"KingCamp Beach Camping Folding Lounge Chair w/ Mesh Back &amp; Foam Arm Rest, Red",20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26 July 2022
52,228253,KC1904_GREY/BLUE,"KingCamp Compact Light Folding Chair w/ Side Table &amp; Storage Pocket, Navy/Gray",38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26 July 2022
53,228255,KC3816 BLACK/BLUE,"KingCamp Foldable Indoor/Outdoor Saucer Lounge Camping &amp; Room Chair, Black/Blue",39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26 July 2022
54,228252,KC3841_RED,"KingCamp Lightweight Strong Stable Folding Outdoor Beach Chair w/ Mesh Back, Red",48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26 July 2022
